,hotel_name,Class of Rating,Rating
571,Element Times Square West,Very Good,8.0
572,Mildred At the Park,None,None
573,Ritz Suites at Times Square,Very Good,8.3
574,329 East Apartment #232474 Apts,None,None
575,The Marc Suites at Times Square,Excellent,8.7
576,Gorgeous 2 Beds Apt in Times Square,None,None
577,"Perfect 3 BR, Midtown East, Doorman Apt",Good,7.5
578,East 81 Apartment #232473 Apts,None,None
579,Four Points by Sheraton Manhattan SoHo Village,Very Good,8.1
580,3/2 Columbus Circle #3,None,None
581,250W50 Midtown West,None,None
582,Luxury Three Bedroom Apartment on Park Ave & 31st Street - Midtown East,Good,7.3
583,Homewood Suites Midtown Manhattan Times Square South,Excellent,8.9
584,Charming West Village Apartment,None,None
585,Chelsea Art Suites,Good,7.1
586,Luxury 2 Bedrooms Apartment Sutton Place,None,None
587,Loft 109,Good,7.3
588,337 East Apartment #232467 Apts,None,None
589,Hoffman Place,None,None
590,Apartment in Hell's Kitchen,Good,7.4
591,Hotel Giraffe by Library Hotel Collection,Awesome,9.4
592,East 81 Street Studio #232465 Home,None,None
593,Bridgestreet at Beekman Towers,Very Good,8.1
594,339 East Studio #232484 Apts,None,None
595,Hip & Trendy Apartments near Times Square - NYC,Good,7.0
596,Hell's Kitchen Two Bedroom Apt,None,None
597,Tribeca Top Deluxe Apartment,None,None
598,329 East Apartment #232463 Apts,None,None
599,Greenwich Street III,None,None
600,Bright Airy Prime Midtown w/Elvator,None,None
601,NobleDEN Hotel,Awesome,9.1
602,Richards Place,None,None
603,DoubleTree by Hilton - Chelsea,Good,7.9
604,Prime Location Times Square 2 Bedrooms,None,None
605,Stylish Upper East Side 2 bed 2 bath,Good,7.6
606,East 81 Studio #232476 Apts,None,None
607,Hilton New York Fashion District,Very Good,8.2
608,Courtyard by Marriott New York Manhattan/Chelsea,Very Good,8.4
609,116 John Street Apartments,None,None
610,Two-Bedroom Apartment on 82nd Street,None,None
611,Pasadena Vacation Rental,None,None
612,Seafarers International House,Good,7.4
613,U Hotel Fifth Avenue,Good,7.9
614,Midtown East 1 Cozy Bedroom Apartment,None,None
615,Two-Bedroom Apartment on 82nd Street,None,None
616,Pasadena Vacation Rental,None,None
617,Seafarers International House,Good,7.4
618,U Hotel Fifth Avenue,Good,7.9
619,Midtown East 1 Cozy Bedroom Apartment,None,None
620,Gramercy Superior Apartments,Review score,6.3
621,Cassa 45 by BridgeStreet,None,None
622,NYC PrivateRoom Subway1bk,None,None
623,One Bedroom Apartment - Mott Street #16,Good,7.4
624,DoubleTree by Hilton NYC - Financial District,Good,7.8
625,Holiday Inn Express New York City Chelsea,Very Good,8.0
626,Embassy Suites By Hilton New York Midtown Manhattan,Awesome,9.2
627,12th Street Apartment,None,None
628,2254 5th Avenue Apartment,None,None
629,Beauty Near Times Square,Very Good,8.0
630,2254 5th Avenue Apartment,None,None
631,Beauty Near Times Square,Very Good,8.0
632,The Smyth,Very Good,8.5
633,Hilton Garden Inn Central Park South,Very Good,8.3
634,337 East Apartment #232415 Apts,None,None
635,Hilton Garden Inn Times Square,Very Good,8.3
636,Gramercy Park Apartments,Good,7.2
637,The Harlem Flophouse,None,None
638,Gorgeous 4 Bedroom Loft In Midtown,None,None
639,Large Bright 2bed/2bath in Prime Upper East Side,None,None
640,Times Square Studio,Very Good,8.2
641,East Side 3 bedroom 2 bathroom (7),Good,7.5
642,Midtown East Two Bedroom Apartment,None,None
643,Interfaith Retreats,Good,7.8
644,Global Luxury Suites at The Eugene,None,None
645,2 Bed Penthouse in Heart of NYC,None,None
646,East Village Oasis- E9th,None,None
647,East 7th Street II,None,None
648,Four Bedroom Apartment - NYC,Excellent,8.8
649,"Amazing LOFT in the East Village, close to the park",None,None
650,Gramercy Park Hotel,Very Good,8.4
651,8 Bedroom Midtown Townhouse- Sleeps 16,None,None
652,U.S. Pacific Hotel,Review score,6.1
653,414 Hotel,Awesome,9.3
654,Chelsea Studio,None,None
655,East 94 Apartment #232470 Apts,None,None
656,West 17th Apartment 3,None,None
657,Beautiful Loft On the Upper East Side,None,None
658,"Ultra Luxurious Large One Bedroom Appartment, Midtown",None,None
659,Midtown Luxury High Rise Condo,None,None
660,Midtown East Apartments,Good,7.8
661,Places4stay Midtown South Comfort,None,None
662,The Maxwell,None,None
663,Madison Ave. & 92nd Street Apt 4PH,None,None
664,Two bridges apartment,None,None
665,Canal Loft Hotel,Review score,6.5
666,777 Sixth Avenue,None,None
667,Times Square Amazing 2 Bedroom,Review score,5.3
668,Three-Bedroom Upper EAST,None,None
669,Studio Apartment - 39th Street,None,None
670,Places4stay Times Square Luxury Apartment,None,None
671,Midtown South One Bedroom Apartments,None,None
672,Hotel Indigo Lower East Side,Excellent,8.7
673,Hilton Garden Inn New York/Midtown Park Avenue,Excellent,8.6
674,NYC Townhouse Apartment,Excellent,8.6
675,Hotel Indigo Lower East Side,Excellent,8.7
676,Hilton Garden Inn New York/Midtown Park Avenue,Excellent,8.6
677,NYC Townhouse Apartment,Excellent,8.6
678,Places4stay Central Park Comfort,None,None
679,Three-Bedroom Apartment with Two Bathrooms - East 55th Street,Good,7.7
680,Courtyard by Marriott Times Square West,Excellent,8.6
681,Studio Apartment - East 31st Street #30,Good,7.4
682,Places4stay Times Square Luxury Studio,None,None
683,MADE Hotel,Awesome,9.1
684,"Gatsby Hotel, An Ascend Hotel Collection Member",Very Good,8.0
685,Great Cozy Apt,None,None
